ma_cd,bat_dau,ket_thuc,tram_muon,tram_tra,ma_kh,loai_xe,quang_duong_km,danh_gia
CD01264,12/06/2025 08:26,12/06/2025 09:19,DN04,DN03,KH0446,Xe đạp,9.1,Hài lòng
CD01265,12/06/2025 09:53,12/06/2025 10:15,HA01,HA02,KH0486,Xe đạp,3.5,
CD01266,12/06/2025 10:51,12/06/2025 12:28,HA01,HA02,KH0370,Xe đạp điện,27.8,Bình thường
CD01267,12/06/2025 11:20,12/06/2025 11:53,HA02,HA01,,XE ĐẠP ĐIỆN,6.7,Bình thường
CD01268,12/06/2025 13:24,12/06/2025 13:30,DN01,DN01,KH0156,Xe đạp,1.2,Bình thường
CD01269,12/06/2025 14:56,12/06/2025 15:05,DN04,DN03,KH0126, Xe đạp,0.8,
CD01270,12/06/2025 15:33,12/06/2025 15:56,DN04,DN02,KH0245,Xe đạp điện  ,4.4,
CD01271,12/06/2025 16:25,12/06/2025 16:39,DN02,DN04,KH0484,Xe đạp,1.7,
CD01272,12/06/2025 17:44,12/06/2025 17:58,HA01,HA02,KH0336,Xe đạp điện,4.3,
CD01273,12/06/2025 18:27,12/06/2025 19:00,DN02,DN01,KH0265,Xe máy điện,11.4,
CD01274,12/06/2025 18:32,12/06/2025 18:52,DN01,DN04,KH0293,Xe đạp điện,6.3,Bình thường
CD01275,12/06/2025 18:51,12/06/2025 19:29,HA01,HA01,,Xe máy điện,18.8,Rất hài lòng
CD01276,12/06/2025 19:14,12/06/2025 19:29,HA02,HA01,KH0465,Xe máy điện,6.6,
CD01277,12/06/2025 20:37,12/06/2025 21:07,HA02,HA01,KH0223,Xe dap dien,7.7,
CD01278,12/06/2025 20:42,12/06/2025 21:55,HA01,HA01,KH0245,Xe máy điện,27.9,
CD01279,13/06/2025 06:33,13/06/2025 08:46,DN03,DN03,,XE MÁY ĐIỆN,41.8,Hài lòng
CD01279,13/06/2025 06:33,13/06/2025 08:46,DN03,DN03,,XE MÁY ĐIỆN,41.8,Hài lòng
CD01280,13/06/2025 06:58,13/06/2025 07:28,DN01,DN04,,Xe đạp,6.0,
CD01281,13/06/2025 07:05,13/06/2025 07:33,DN03,DN01,KH0024,xe máy điện,11.2,Rất hài lòng
CD01282,13/06/2025 08:47,13/06/2025 09:22,DN01,DN03,KH0114,Xe đạp điện,9.2,Hài lòng
CD01283,13/06/2025 08:58,13/06/2025 09:12,DN01,DN03,KH0105,Xe máy điện,7.0,Hài lòng
CD01284,13/06/2025 09:28,13/06/2025 09:41,DN02,DN01,,XE MÁY ĐIỆN,5.3,Rất hài lòng
CD01285,13/06/2025 10:09,13/06/2025 11:50,DN01,DN03,KH0487,Xe máy điện,,Hài lòng
CD01286,13/06/2025 12:19,13/06/2025 12:47,HA01,HA01,,Xe máy điện,9.6,
CD01287,13/06/2025 13:34,13/06/2025 14:11,HA01,HA02,,Xe đạp điện,6.7,Hài lòng
CD01288,13/06/2025 15:50,13/06/2025 16:15,HA02,HA01,KH0410,Xe đạp điện,6.9,Hài lòng
CD01289,13/06/2025 16:03,13/06/2025 16:46,HA01,HA01,,Xe đạp điện,10.8,Hài lòng
CD01290,13/06/2025 18:00,13/06/2025 18:35,DN02,DN04,,Xe đạp điện,9.2,Hài lòng
CD01291,13/06/2025 18:06,13/06/2025 18:16,DN02,DN02,KH0097,Xe đạp,,Rất hài lòng
CD01292,13/06/2025 18:39,13/06/2025 19:28,DN01,DN01,KH0453,Xe đạp điện,12.1,Không hài lòng
CD01293,13/06/2025 18:45,13/06/2025 20:23,HA01,HA01,KH0119,Xe máy điện,24.0,
CD01294,13/06/2025 19:18,13/06/2025 20:08,DN01,DN01,,Xe đạp điện,13.1,Không hài lòng
CD01295,13/06/2025 19:40,13/06/2025 20:07,DN03,DN01,,Xe đạp điện,9.1,Bình thường
CD01296,13/06/2025 19:52,13/06/2025 20:40,HA01,HA01,,xe đạp,10.1,Hài lòng
CD01297,14/06/2025 05:17,14/06/2025 05:23,DN03,DN01,KH0349,Xe đạp,1.1,Bình thường
CD01298,14/06/2025 06:31,14/06/2025 06:57,DN03,DN03,,Xe đạp,5.6,Hài lòng
CD01299,14/06/2025 09:35,14/06/2025 10:10,DN03,DN02,,Xe đạp điện  ,10.8,Bình thường
CD01300,14/06/2025 09:36,14/06/2025 09:54,HA01,HA01,KH0002,Xe đạp điện,3.5,
CD01301,14/06/2025 09:50,14/06/2025 10:03,DN01,DN02,KH0354,xe đạp,2.9,Bình thường
CD01302,14/06/2025 10:50,14/06/2025 12:03,HA01,HA01,KH0265,Xe máy điện,33.2,Rất hài lòng
CD01303,14/06/2025 12:08,14/06/2025 13:23,DN03,DN01,KH0193,Xe máy điện,26.6,Bình thường
CD01304,14/06/2025 12:23,14/06/2025 12:32,DN01,DN04,KH0271,Xe đạp,1.4,Bình thường
CD01305,14/06/2025 13:19,14/06/2025 13:38,DN03,DN03,KH0176,Xe đạp điện,4.5,Hài lòng
CD01306,14/06/2025 15:22,14/06/2025 15:50,DN03,DN01,KH0045,Xe đạp điện,6.8,
CD01307,14/06/2025 16:36,14/06/2025 16:45,DN03,DN03,KH0332,Xe đạp,1.5,
CD01308,14/06/2025 16:39,14/06/2025 17:07,DN04,DN03,KH0015,Xe máy điện,12.3,Bình thường
CD01309,14/06/2025 16:47,14/06/2025 17:31,HA02,HA01,KH0288,Xe máy điện,21.9,
CD01310,14/06/2025 18:28,14/06/2025 19:07,DN02,DN02,KH0239,Xe máy điện,11.5,Hài lòng
CD01311,14/06/2025 18:30,14/06/2025 19:07,HA01,HA02,KH0426,XE ĐẠP,7.2,Rất hài lòng
CD01312,14/06/2025 18:57,14/06/2025 19:45,DN07,HA01,KH0250,XE MÁY ĐIỆN,21.9,Hài lòng
CD01313,15/06/2025 06:01,15/06/2025 06:14,DN01,DN02,KH0270,Xe đạp,1.7,Hài lòng
CD01314,15/06/2025 06:24,15/06/2025 06:39,HA01,HA02,,Xe máy điện,5.9,Hài lòng
CD01315,15/06/2025 07:06,15/06/2025 07:44,DN04,DN02,KH0196,xe đạp điện,9.9,
CD01316,15/06/2025 07:15,15/06/2025 07:45,DN01,DN02,KH0220,Xe máy điện,11.5,Rất hài lòng
CD01317,15/06/2025 07:17,15/06/2025 07:42,DN03,DN04,KH0315,Xe đạp điện,9.5,
CD01318,15/06/2025 07:35,15/06/2025 08:21,DN01,DN01,,Xe máy điện,22.7,Hài lòng
CD01319,15/06/2025 08:19,15/06/2025 09:25,DN02,DN03,KH0104,Xe đạp điện,15.6,Bình thường
CD01320,15/06/2025 08:34,15/06/2025 08:46,DN02,DN02,KH0124,Xe đạp điện,3.4,Rất hài lòng
CD01321,15/06/2025 10:06,15/06/2025 11:13,DN04,DN01,KH0106,Xe máy điện,24.4,Rất hài lòng
CD01322,15/06/2025 10:54,15/06/2025 11:23,DN03,DN03,KH0035,Xe đạp điện,8.2,Hài lòng
CD01323,15/06/2025 13:20,15/06/2025 13:36,DN03,DN03,KH0124,Xe máy điện,6.6,Hài lòng
CD01324,15/06/2025 14:07,15/06/2025 14:17,HA02,HA01,KH0185,Xe đạp,2.3,
CD01325,15/06/2025 14:23,15/06/2025 14:36,DN02,DN03,KH0269,Xe đạp,2.2,
CD01326,15/06/2025 14:23,15/06/2025 14:38,DN01,DN02,KH0172,Xe máy điện,5.5,Rất hài lòng
CD01327,15/06/2025 14:35,15/06/2025 15:06,DN03,DN03,KH0215,Xe đạp điện,7.2,Rất hài lòng
CD01328,15/06/2025 15:32,15/06/2025 15:55,DN01,DN02,,Xe đạp,3.2,Bình thường
CD01329,15/06/2025 16:32,15/06/2025 17:16,DN01,DN04,,XE MÁY ĐIỆN,20.7,
CD01330,15/06/2025 16:54,15/06/2025 17:16,DN03,DN03,KH0498,Xe đạp,3.8,Hài lòng
CD01331,15/06/2025 21:04,15/06/2025 21:31,HA02,HA01,KH0472,Xe đạp điện,,Bình thường
CD01332,15/06/2025 21:09,15/06/2025 21:37,DN03,DN04,KH0352,Xe đạp,5.3,Không hài lòng
CD01333,15/06/2025 21:18,15/06/2025 21:45,DN02,DN03,KH0193,Xe dap dien,5.3,Rất hài lòng
CD01334,16/06/2025 06:13,16/06/2025 06:45,DN04,DN04,KH0278,Xe đạp điện,11.5,Rất hài lòng
CD01335,16/06/2025 06:35,16/06/2025 06:58,DN07,DN03,KH0095,Xe đạp điện  ,6.3,Hài lòng
CD01336,16/06/2025 08:27,16/06/2025 09:00,DN04,DN01,KH0461,Xe máy điện,11.2,Rất hài lòng
CD01337,16/06/2025 08:28,16/06/2025 09:33,DN03,DN01,, Xe máy điện,23.4,Bình thường
CD01338,16/06/2025 12:08,16/06/2025 12:48,DN01,DN01,KH0385,Xe đạp điện,11.2,Hài lòng
CD01339,16/06/2025 15:34,16/06/2025 15:57,HA02,HA02,KH0387,Xe đạp,1.9,Hài lòng
CD01340,16/06/2025 16:59,16/06/2025 17:42,DN04,DN02,KH0083,Xe máy điện,16.2,Hài lòng
CD01341,16/06/2025 17:09,16/06/2025 18:24,HA01,HA02,KH0141,Xe máy điện,30.5,Rất hài lòng
CD01342,16/06/2025 17:15,16/06/2025 17:34,DN02,DN01,KH0183,Xe đạp điện,4.9,Hài lòng
CD01343,16/06/2025 17:57,16/06/2025 18:55,HA02,HA01,KH0555,Xe đạp điện,17.8,Hài lòng
CD01344,17/06/2025 07:00,17/06/2025 07:10,HA01,HA01,KH0166,Xe đạp điện,2.1,Bình thường
CD01345,17/06/2025 07:03,17/06/2025 07:21,DN03,DN03,KH0273,Xe đạp điện,4.4,Bình thường
CD01346,17/06/2025 07:47,,DN01,DN01,,Xe máy điện,15.7,
CD01347,17/06/2025 08:31,17/06/2025 08:56,DN04,DN01,,Xe đạp điện,10.5,Rất hài lòng
CD01348,17/06/2025 10:56,17/06/2025 11:08,DN01,DN02,,Xe đạp điện,3.2,Hài lòng
CD01349,17/06/2025 11:27,17/06/2025 11:56,DN02,DN01,KH0268,Xe đạp điện,7.3,
CD01350,17/06/2025 13:06,17/06/2025 14:02,DN01,DN01,,Xe máy điện,17.2,
CD01351,17/06/2025 15:31,17/06/2025 15:48,DN01,DN04,KH0172,Xe đạp điện  ,5.0,Hài lòng
CD01352,17/06/2025 16:30,17/06/2025 16:54,DN01,DN02,KH0252,Xe máy điện,12.4,Hài lòng
CD01353,17/06/2025 17:34,17/06/2025 17:51,DN04,DN01,KH0100, Xe đạp,2.9,Bình thường
CD01354,17/06/2025 17:44,17/06/2025 17:58,DN01,DN02,KH0369,Xe dap,3.0,Bình thường
CD01355,17/06/2025 19:01,17/06/2025 19:47,DN02,DN01,KH0186,Xe may dien,24.0,Bình thường
CD01356,18/06/2025 05:06,18/06/2025 05:17,DN03,DN01,KH0502,XE ĐẠP,1.9,Hài lòng
CD01357,18/06/2025 07:05,18/06/2025 07:21,DN04,DN03,KH0113,Xe đạp,3.7,Rất hài lòng
CD01358,18/06/2025 07:18,18/06/2025 07:46,DN04,DN01,KH0500,xe máy điện,13.0,
CD01359,18/06/2025 07:53,18/06/2025 07:05,HA01,HA01,KH0397,Xe máy điện,19.7,
CD01360,18/06/2025 08:11,,DN02,DN01,,Xe đạp,2.6,
CD01361,18/06/2025 11:33,18/06/2025 12:07,DN03,DN03,,Xe đạp,6.8,Không hài lòng
CD01362,18/06/2025 12:05,18/06/2025 13:35,DN01,DN02,,Xe máy điện,34.9,Hài lòng
CD01363,18/06/2025 15:23,18/06/2025 15:29,HA02,HA01,KH0401,Xe đạp,0.8,Hài lòng
CD01364,18/06/2025 16:26,18/06/2025 16:27,HA01,HA01,,xe đạp,0.1,Hài lòng
CD01365,18/06/2025 17:52,18/06/2025 18:10,DN01,DN04,KH0042,Xe đạp điện,4.4,Rất hài lòng
CD01366,18/06/2025 18:47,18/06/2025 19:07,DN02,DN01,,Xe máy điện,6.0,Rất hài lòng
CD01367,18/06/2025 19:32,18/06/2025 19:55,DN03,DN02,KH0124,xe máy điện,11.7,Bình thường
CD01368,18/06/2025 19:42,18/06/2025 20:15,DN03,DN01,,Xe đạp,6.8,Hài lòng
CD01369,19/06/2025 06:09,19/06/2025 07:06,HA02,HA01,,Xe dap,9.0,Hài lòng
CD01370,19/06/2025 07:36,19/06/2025 09:52,DN04,DN03,KH0060,Xe máy điện,43.3,Bình thường
CD01371,19/06/2025 07:41,19/06/2025 08:31,DN01,DN01,,Xe máy điện,21.0,Rất hài lòng
CD01372,19/06/2025 10:18,19/06/2025 11:04,DN01,DN03,KH0037,Xe đạp điện,13.0,Hài lòng
CD01373,19/06/2025 11:01,19/06/2025 11:18,HA01,HA01,KH0132,Xe đạp,3.7,
CD01374,19/06/2025 13:20,19/06/2025 13:47,DN01,DN04,,Xe máy điện,10.7,Rất hài lòng
CD01375,19/06/2025 14:18,19/06/2025 14:27,DN01,DN03,KH0256,xe đạp,1.4,Rất hài lòng
CD01376,19/06/2025 14:58,19/06/2025 15:54,HA01,HA01,,Xe đạp điện,18.2,Rất hài lòng
CD01377,19/06/2025 15:28,19/06/2025 15:38,DN02,DN01,KH0430,Xe đạp điện,3.9,Hài lòng
CD01378,19/06/2025 15:56,19/06/2025 16:16,HA02,HA01,,Xe dap dien,4.8,
CD01379,19/06/2025 16:21,19/06/2025 16:51,HA02,HA02,,Xe đạp điện,9.0,Rất hài lòng
CD01380,19/06/2025 16:52,19/06/2025 17:06,HA02,HA02,KH0155,Xe đạp điện  ,2.7,Hài lòng
CD01381,19/06/2025 17:05,19/06/2025 17:24,HA01,HA01,,XE ĐẠP ĐIỆN,4.7,Rất hài lòng
CD01382,19/06/2025 17:11,19/06/2025 18:36,DN01,DN01,,xe máy điện,35.5,Bình thường
CD01383,19/06/2025 18:02,19/06/2025 18:19,HA02,HA01,KH0123,Xe đạp điện,3.8,Bình thường
CD01384,19/06/2025 18:04,19/06/2025 18:13,DN04,DN04,KH0394,Xe đạp điện,1.8,
CD01385,20/06/2025 05:19,20/06/2025 06:04,HA01,HA02,KH0073,Xe máy điện,15.3,Hài lòng
CD01386,20/06/2025 05:36,20/06/2025 06:08,DN04,DN02,KH0368,Xe máy điện,11.4,
CD01387,20/06/2025 05:38,20/06/2025 06:09,DN07,DN02,KH0230,xe đạp điện,7.4,
CD01388,20/06/2025 06:57,20/06/2025 07:27,DN03,DN03,KH0417,Xe đạp,5.8,Hài lòng
CD01389,20/06/2025 07:08,20/06/2025 07:26,HA02,HA02,KH0284,Xe đạp điện,4.3,
CD01390,20/06/2025 07:42,20/06/2025 08:08,DN02,DN02,,xe máy điện,6.6,Hài lòng
CD01391,20/06/2025 07:59,20/06/2025 08:32,HA01,HA02,KH0300,Xe đạp điện,7.3,Hài lòng
CD01392,20/06/2025 08:27,20/06/2025 09:01,DN03,DN02,,Xe máy điện,14.2,
CD01393,20/06/2025 08:30,20/06/2025 09:07,DN03,DN02,,XE ĐẠP ĐIỆN,8.2,Rất hài lòng
CD01394,20/06/2025 14:02,20/06/2025 15:25,DN04,DN01,,Xe đạp điện,21.3,Hài lòng
CD01395,20/06/2025 15:28,20/06/2025 15:29,HA02,HA02,KH0213,Xe máy điện,0.1,Hài lòng
CD01396,20/06/2025 16:52,20/06/2025 17:09,DN02,DN03,KH0154,Xe đạp,4.3,
CD01397,20/06/2025 17:37,20/06/2025 18:06,HA01,HA01,,xe đạp,6.2,Hài lòng
CD01398,20/06/2025 17:56,20/06/2025 18:20,DN01,DN01,KH0310,XE ĐẠP,4.0,Bình thường
CD01399,20/06/2025 18:22,20/06/2025 18:39,DN01,DN01,KH0133,xe đạp,4.0,Rất hài lòng
CD01400,20/06/2025 18:57,20/06/2025 19:13,DN01,DN01,KH0180,Xe đạp,2.5,Không hài lòng
CD01401,20/06/2025 19:24,20/06/2025 20:03,HA02,HA02,KH0487,Xe máy điện,13.4,Rất hài lòng
CD01402,20/06/2025 21:37,20/06/2025 22:26,DN04,DN02,,Xe máy điện,12.7,Hài lòng
CD01403,21/06/2025 06:31,21/06/2025 07:02,DN01,DN03,,xe máy điện,13.0,Hài lòng
CD01404,21/06/2025 07:06,21/06/2025 08:16,HA02,HA01,KH0376,Xe máy điện,32.3,Hài lòng
CD01405,21/06/2025 07:11,21/06/2025 07:28,HA02,HA02,KH0416,Xe đạp điện,4.8,Hài lòng
CD01406,21/06/2025 07:20,21/06/2025 07:21,DN01,DN01,KH0019,Xe đạp,0.0,Hài lòng
CD01407,21/06/2025 07:26,21/06/2025 07:59,HA02,HA01,,Xe đạp điện,9.1,Rất hài lòng
CD01408,21/06/2025 07:28,21/06/2025 07:45,DN02,DN01,KH0241,Xe đạp,3.4,Bình thường
CD01409,21/06/2025 07:39,21/06/2025 08:39,HA02,HA01,KH0363,xe máy điện,,
CD01410,21/06/2025 07:41,21/06/2025 08:04,DN02,DN01,,Xe máy điện,9.6,
CD01411,21/06/2025 07:58,21/06/2025 08:14,DN01,DN03,KH0553,Xe đạp,3.6,
CD01412,21/06/2025 08:00,21/06/2025 08:07,DN01,DN01,,Xe đạp,1.5,Hài lòng
CD01413,21/06/2025 08:21,21/06/2025 08:38,DN04,DN03,KH0405,Xe đạp,3.6,
CD01414,21/06/2025 08:28,21/06/2025 11:03,DN01,DN02,,Xe máy điện,58.2,
CD01415,21/06/2025 08:40,21/06/2025 09:01,HA01,HA01,,Xe đạp,2.9,Rất hài lòng
CD01416,21/06/2025 08:41,21/06/2025 09:28,DN01,DN01,KH0178,Xe đạp điện,11.7,Rất hài lòng
CD01417,21/06/2025 09:52,21/06/2025 10:21,DN02,DN03,,Xe máy điện,11.7,Bình thường
CD01418,21/06/2025 15:53,21/06/2025 16:05,DN02,DN01,,Xe đạp điện,2.9,Hài lòng
CD01419,21/06/2025 15:53,21/06/2025 16:01,DN01,DN03,KH0239,Xe đạp điện,2.3,Rất hài lòng
CD01420,21/06/2025 16:30,21/06/2025 17:50,HA02,HA01,KH0495,Xe máy điện,26.8,Bình thường
CD01421,21/06/2025 17:28,21/06/2025 18:16,HA02,HA01,,Xe máy điện,23.1,Rất hài lòng
CD01422,21/06/2025 18:44,21/06/2025 19:05,DN03,DN04,KH0015,Xe đạp,5.2,Hài lòng
CD01423,21/06/2025 19:07,21/06/2025 19:32,HA02,HA01,KH0161,Xe đạp điện,8.4,
CD01424,21/06/2025 22:29,21/06/2025 22:50,DN01,DN02,,Xe đạp điện,6.5,Rất hài lòng
CD01425,22/06/2025 06:06,22/06/2025 06:21,HA01,HA02,,Xe đạp,2.9,
CD01426,22/06/2025 06:28,22/06/2025 07:11,HA02,HA01,KH0203,Xe máy điện,17.5,Hài lòng
CD01427,22/06/2025 08:54,22/06/2025 09:20,HA02,HA01,,Xe đạp điện,6.1,Rất hài lòng
CD01428,22/06/2025 10:08,22/06/2025 10:40,DN01,DN03,,Xe đạp,5.0,
CD01429,22/06/2025 14:05,22/06/2025 14:41,DN03,DN03,,xe máy điện,12.3,Hài lòng
CD01430,22/06/2025 15:24,22/06/2025 15:54,HA01,HA02,,xe máy điện,10.1,Hài lòng
CD01431,22/06/2025 16:03,22/06/2025 17:37,DN01,DN03,KH0464,Xe máy điện,23.1,Bình thường
CD01432,22/06/2025 17:13,22/06/2025 17:40,DN03,DN03,,Xe máy điện,12.5,Hài lòng
CD01433,22/06/2025 17:37,22/06/2025 17:54,DN03,DN03,KH0102,Xe máy điện,7.4,
CD01434,22/06/2025 17:41,,HA01,HA02,KH0115,Xe đạp điện,10.9,Rất hài lòng
CD01435,22/06/2025 17:58,22/06/2025 18:30,HA01,HA01,KH0214,Xe đạp điện,8.3,
CD01436,22/06/2025 18:07,22/06/2025 18:22,DN01,DN04,,Xe đạp điện  ,5.2,Bình thường
CD01437,22/06/2025 18:09,22/06/2025 18:22,HA02,HA01,KH0042,Xe đạp điện,3.2,Hài lòng
CD01438,22/06/2025 19:39,22/06/2025 19:56,HA02,HA02,KH0274,Xe đạp,3.1,
CD01439,23/06/2025 05:10,23/06/2025 05:35,DN02,DN01,KH0372,Xe đạp điện,5.9,
CD01440,23/06/2025 05:49,23/06/2025 06:09,DN01,DN04,,Xe đạp điện,4.6,Hài lòng
CD01441,23/06/2025 07:57,23/06/2025 08:48,HA02,HA02,,Xe may dien,17.0,Hài lòng
CD01442,23/06/2025 09:20,23/06/2025 09:55,DN02,DN03,KH0050,xe đạp,6.2,Bình thường
CD01443,23/06/2025 12:33,23/06/2025 13:17,DN02,DN01,KH0008,Xe đạp điện,9.8,Hài lòng
CD01444,23/06/2025 13:55,23/06/2025 14:44,DN02,DN02,KH0198,Xe máy điện,15.6,
CD01445,23/06/2025 19:05,23/06/2025 20:17,HA02,HA02,KH0089,Xe máy điện,30.4,Hài lòng
CD01446,23/06/2025 19:23,23/06/2025 19:45,HA02,HA02,KH0143,Xe đạp,3.5,Hài lòng
CD01447,23/06/2025 20:24,23/06/2025 20:31,DN01,DN03,KH0486, Xe đạp,1.4,Hài lòng
CD01448,23/06/2025 21:57,23/06/2025 22:13,DN04,DN03,,Xe may dien,4.5,Bình thường
CD01449,24/06/2025 05:32,24/06/2025 06:02,DN01,DN01,KH0272,Xe đạp,4.5,Bình thường
CD01450,24/06/2025 06:06,24/06/2025 06:28,DN02,DN02,,Xe máy điện,7.2,Hài lòng
CD01451,24/06/2025 06:07,24/06/2025 07:47,HA01,HA01,KH0420,Xe máy điện,38.0,
CD01452,24/06/2025 06:26,24/06/2025 06:37,DN01,DN02,,Xe đạp,,Hài lòng
CD01453,24/06/2025 07:40,24/06/2025 08:06,HA01,HA01,,Xe máy điện,8.6,Rất hài lòng
CD01454,24/06/2025 08:02,24/06/2025 08:11,DN03,DN01,KH0119,Xe đạp điện,2.5,Bình thường
CD01455,24/06/2025 08:02,24/06/2025 08:22,DN01,DN02,KH0222,Xe đạp điện,5.8,Hài lòng
CD01456,24/06/2025 08:45,24/06/2025 09:17,DN03,DN01,KH0346,xe máy điện,9.4,Hài lòng
CD01457,24/06/2025 09:48,24/06/2025 10:44,HA02,HA01,KH0023,Xe đạp điện,17.3,
CD01458,24/06/2025 12:20,24/06/2025 12:34,DN01,DN01,KH0347, Xe máy điện,5.6,
CD01458,24/06/2025 12:20,24/06/2025 12:34,DN01,DN01,KH0347, Xe máy điện,5.6,
CD01459,24/06/2025 13:12,24/06/2025 13:22,DN03,DN02,KH0220,Xe đạp,2.3,
CD01460,24/06/2025 15:44,24/06/2025 16:31,DN01,DN02,KH0464,Xe máy điện,16.1,Rất hài lòng
CD01461,24/06/2025 15:45,24/06/2025 16:00,HA01,HA01,KH0420,Xe đạp,2.8,Bình thường
CD01461,24/06/2025 15:45,24/06/2025 16:00,HA01,HA01,KH0420,Xe đạp,2.8,Bình thường
CD01462,24/06/2025 17:26,24/06/2025 17:56,DN02,DN02,,Xe đạp,5.6,Bình thường
CD01463,24/06/2025 18:08,24/06/2025 18:57,DN04,DN03,KH0186,Xe máy điện,20.9,Bình thường
CD01464,24/06/2025 20:43,24/06/2025 21:10,HA01,HA01,KH0011,Xe máy điện,7.6,Bình thường
CD01465,24/06/2025 21:45,24/06/2025 22:48,HA02,HA01,,Xe máy điện,19.1,Bình thường
CD01466,24/06/2025 21:58,24/06/2025 22:20,HA02,HA02,,Xe đạp,4.1,
CD01467,25/06/2025 06:13,25/06/2025 06:47,DN02,DN04,,Xe máy điện,12.1,Rất hài lòng
CD01468,25/06/2025 06:26,25/06/2025 06:53,DN01,DN02,KH0482,Xe đạp điện,7.6,Bình thường
CD01469,25/06/2025 06:59,25/06/2025 07:16,DN04,DN03,KH0431,Xe đạp điện,4.4,Hài lòng
CD01470,25/06/2025 08:16,25/06/2025 08:31,HA02,HA02,KH0307,Xe đạp điện,4.2,
CD01471,25/06/2025 10:50,25/06/2025 11:17,DN03,DN02,,Xe đạp điện,9.1,Hài lòng
CD01472,25/06/2025 13:41,25/06/2025 14:02,HA02,HA01,KH0044,xe đạp điện,6.1,Hài lòng
CD01473,25/06/2025 14:41,25/06/2025 15:09,HA01,HA01,,Xe đạp,5.3,Bình thường
CD01474,25/06/2025 15:17,25/06/2025 15:42,DN03,DN01,KH0288,Xe máy điện,13.1,Bình thường
CD01475,25/06/2025 15:36,25/06/2025 16:26,DN01,DN01,,XE MÁY ĐIỆN,,Rất hài lòng
CD01476,25/06/2025 15:54,25/06/2025 16:13,DN02,DN03,,Xe máy điện,5.9,Rất hài lòng
CD01477,25/06/2025 17:11,25/06/2025 17:37,DN01,DN01,,Xe đạp điện,8.8,Bình thường
CD01478,25/06/2025 18:58,25/06/2025 19:08,DN01,DN01,KH0133,Xe đạp,2.1,Hài lòng
CD01479,25/06/2025 21:20,25/06/2025 21:45,DN02,DN03,KH0008,Xe đạp,4.1,Rất hài lòng
CD01480,25/06/2025 22:25,25/06/2025 23:06,HA01,HA01,KH0430,Xe máy điện,17.2,
CD01481,26/06/2025 06:30,26/06/2025 06:49,DN02,DN01,KH0474,Xe đạp điện,5.1,
CD01482,26/06/2025 07:40,26/06/2025 07:55,HA01,HA01,,Xe dap dien,4.8,Hài lòng
CD01482,26/06/2025 07:40,26/06/2025 07:55,HA01,HA01,,Xe dap dien,4.8,Hài lòng
CD01483,26/06/2025 08:28,26/06/2025 09:18,HA01,HA01,,xe máy điện,23.5,
CD01484,26/06/2025 08:33,26/06/2025 08:57,HA01,HA02,,Xe đạp điện,6.2,Rất hài lòng
CD01485,26/06/2025 10:53,26/06/2025 11:28,HA01,HA01,KH0125,Xe đạp điện,8.3,Rất hài lòng
CD01486,26/06/2025 11:58,26/06/2025 13:04,HA01,HA01,,xe máy điện,24.4,Rất hài lòng
CD01487,26/06/2025 12:22,26/06/2025 12:35,HA01,HA01,KH0428,Xe đạp điện,4.2,Rất hài lòng
CD01488,26/06/2025 15:42,26/06/2025 15:58,DN03,DN03,,Xe đạp,2.6,
CD01489,26/06/2025 15:55,26/06/2025 16:11,HA02,HA01,,Xe đạp điện,4.5,Hài lòng
CD01489,26/06/2025 15:55,26/06/2025 16:11,HA02,HA01,,Xe đạp điện,4.5,Hài lòng
CD01490,26/06/2025 16:22,26/06/2025 16:38,DN01,DN03,,Xe đạp điện,2.8,Bình thường
CD01491,26/06/2025 17:41,26/06/2025 17:59,DN03,DN02,KH0294,Xe đạp điện,4.3,Hài lòng
CD01492,26/06/2025 17:51,26/06/2025 18:38,DN02,DN02,,Xe may dien,17.9,
CD01493,26/06/2025 18:00,26/06/2025 18:36,DN03,DN03,KH0289,Xe đạp điện,12.6,Bình thường
CD01494,26/06/2025 18:42,26/06/2025 18:55,HA02,HA01,KH0004,Xe đạp,2.6,Không hài lòng
CD01495,26/06/2025 19:14,26/06/2025 19:45,DN01,DN02,,Xe đạp điện,7.4,Bình thường
CD01496,26/06/2025 20:11,26/06/2025 20:18,DN01,DN04,KH0171,XE ĐẠP,1.3,Hài lòng
CD01497,27/06/2025 05:21,27/06/2025 05:36,DN01,DN04,,XE ĐẠP,3.1,Hài lòng
CD01498,27/06/2025 06:40,27/06/2025 07:12,HA02,HA02,,Xe đạp,6.2,
CD01499,27/06/2025 08:03,27/06/2025 08:19,DN03,DN01,,Xe máy điện,7.3,Hài lòng
CD01500,27/06/2025 08:22,27/06/2025 08:32,DN01,DN03,KH0247,Xe đạp,2.1,Rất hài lòng
CD01501,27/06/2025 09:59,27/06/2025 11:00,HA01,HA02,,Xe đạp điện,17.1,
CD01502,27/06/2025 10:43,27/06/2025 11:05,HA02,HA01,KH0490,Xe đạp,3.8,Bình thường
CD01503,27/06/2025 12:14,27/06/2025 13:35,HA02,HA01,KH0515,Xe máy điện,25.2,Bình thường
CD01504,27/06/2025 15:04,27/06/2025 15:13,HA02,HA01,KH0389, Xe đạp,1.1,Hài lòng
CD01505,27/06/2025 16:10,27/06/2025 16:36,DN01,DN01,KH0361,XE ĐẠP ĐIỆN,5.5,
