ma_don,ngay_dat,ma_kh,thanh_pho,danh_muc,don_gia,so_luong,phuong_thuc_tt,danh_gia
DH01212,11/04/2025,KH0429,Huế,Đồ uống,42000,6,Tiền mặt,4
DH01213,11/04/2025,KH0451,Hồ Chí Minh,Đồ uống,40000,9,Ví điện tử,3
DH01214,11/04/2025,KH0293, hà nội  ,Thực phẩm,138000,4,Ví điện tử,
DH01215,11/04/2025,KH0048,Huế,Gia dụng,190000,3,Ví điện tử,5
DH01216,11/04/2025,KH0055,Hà Nội,Đồ uống,41000,6,Ví điện tử,5
DH01217,11/04/2025,KH0350,Hồ Chí Minh,Thực phẩm,65000,6,Ví điện tử,5
DH01218,11/04/2025,KH0179,Hồ Chí Minh,Gia dụng,258000,2,Chuyển khoản,3
DH01219,12/04/2025,KH0007,cần thơ,Thực phẩm,124000,2,Tiền mặt,5
DH01220,12/04/2025,KH0161,Cần Thơ,Gia dụng,335000,2,Ví điện tử,5
DH01221,12/04/2025,KH0436,Hồ Chí Minh,Đồ uống,42000,8,Ví điện tử,
DH01222,12/04/2025,KH0055,HỒ CHÍ MINH,Đồ uống,25000,5,Tiền mặt,4
DH01223,12/04/2025,KH0170,HÀ NỘI,Mỹ phẩm,412000,2,Chuyển khoản,5
DH01224,12/04/2025,KH0325,Hồ Chí Minh,Gia dụng,274000,4,Tiền mặt,5
DH01225,12/04/2025,,Cần Thơ,Thực phẩm,128000,1,Ví điện tử,5
DH01226,12/04/2025,KH0467,Hồ Chí Minh,Thực phẩm,55000,4,Ví điện tử,4
DH01227,12/04/2025,,Huế,Đồ uống,38000,4,Tiền mặt,5
DH01228,12/04/2025,KH0321,Huế,Mỹ phẩm,265000,2,Ví điện tử,
DH01229,12/04/2025,KH0022,Hồ Chí Minh ,Gia dụng,223000,1,Ví điện tử,5
DH01230,12/04/2025,KH0142,Hà Nội,Mỹ phẩm,433000,1,Tiền mặt,
DH01231,13/04/2025,KH0479,Cần Thơ,Đồ uống,19000,6,Chuyển khoản,3
DH01232,13/04/2025,,Đà Nẵng,Văn phòng phẩm,57000,4,Chuyển khoản,5
DH01233,13/04/2025,KH0476,Hồ Chí Minh,Gia dụng,172000,1,Chuyển khoản,5
DH01234,13/04/2025,KH0448,Cần Thơ,Văn phòng phẩm,51000,1,Tiền mặt,3
DH01235,13/04/2025,KH0264,Hà Nội ,Văn phòng phẩm,9000,3,Ví điện tử,4
DH01236,13/04/2025,KH0093,Hồ Chí Minh,Thực phẩm,100000,2,Ví điện tử,2
DH01237,13/04/2025,KH0464, hồ chí minh  ,Gia dụng,479000,2,Ví điện tử,4
DH01238,13/04/2025,,Huế,Đồ uống,27000,4,Ví điện tử,4
DH01239,13/04/2025,KH0354,  Hà Nội,Gia dụng,375000,4,Chuyển khoản,3
DH01240,13/04/2025,KH0496,Hồ Chí Minh,Mỹ phẩm,349000,5,Ví điện tử,4
DH01241,13/04/2025,KH0415,Huế,Đồ uống,40000,7,Tiền mặt,5
DH01242,13/04/2025,KH0352,Huế,Thực phẩm,46000,4,Ví điện tử,3
DH01243,13/04/2025,KH0552,  Huế,Văn phòng phẩm,40000,1,Tiền mặt,4
DH01244,13/04/2025,KH0171,Hà Nội ,Đồ uống,23000,4,Tiền mặt,4
DH01245,13/04/2025,KH0081,Hồ Chí Minh,Gia dụng,188000,4,Chuyển khoản,4
DH01246,13/04/2025,KH0471,Hồ Chí Minh,Đồ uống,35000,2,Chuyển khoản,4
DH01247,13/04/2025,KH0114,Hồ Chí Minh,Văn phòng phẩm,30000,4,Ví điện tử,5
DH01248,13/04/2025,KH0496,Hà Nội,Mỹ phẩm,194000,4,Tiền mặt,5
DH01249,14/04/2025,KH0057,Hồ Chí Minh,Gia dụng,469000,1,Tiền mặt,4
DH01250,14/04/2025,,Đà Nẵng,Văn phòng phẩm,34000,2,Ví điện tử,3
DH01251,14/04/2025,KH0160,Hà Nội,Mỹ phẩm,188000,1,Ví điện tử,1
DH01252,14/04/2025,KH0343,Đà Nẵng,Mỹ phẩm,348000,5,Chuyển khoản,4
DH01253,14/04/2025,KH0254,Hà Nội,Mỹ phẩm,96000,2,Ví điện tử,4
DH01254,14/04/2025,KH0461,Hà Nội,Văn phòng phẩm,51000,4,Ví điện tử,4
DH01255,14/04/2025,KH0339,Hà Nội,Gia dụng,533000,3,Tiền mặt,1
DH01256,14/04/2025,KH0255,Hà Nội,Mỹ phẩm,276000,3,Ví điện tử,
DH01257,14/04/2025,KH0129,Hà Nội,Đồ uống,19000,2,Ví điện tử,5
DH01258,14/04/2025,KH0096,Đà Nẵng,Thực phẩm,99000,3,Tiền mặt,1
DH01259,14/04/2025,,Đà Nẵng,Đồ uống,15000,4,Tiền mặt,4
DH01260,15/04/2025,KH0415,Hà Nội,Mỹ phẩm,425000,4,Ví điện tử,4
DH01261,15/04/2025,KH0175,  Hồ Chí Minh,Gia dụng,481000,4,Tiền mặt,2
DH01262,15/04/2025,KH0428,Hồ Chí Minh,Đồ uống,37000,7,Ví điện tử,4
DH01263,15/04/2025,KH0115,Cần Thơ,Thực phẩm,115000,3,Tiền mặt,4
DH01264,15/04/2025,KH0275,Hà Nội,Đồ uống,44000,3,Ví điện tử,4
DH01265,15/04/2025,KH0281,Hà Nội,Văn phòng phẩm,31000,2,Chuyển khoản,
DH01266,15/04/2025,KH0431,Hà Nội,Mỹ phẩm,112000,4,Tiền mặt,4
DH01267,15/04/2025,KH0400,Hà Nội,Gia dụng,346000,2,Ví điện tử,5
DH01268,15/04/2025,, hà nội  ,Đồ uống,32000,2,Chuyển khoản,5
DH01269,15/04/2025,KH0159,Hồ Chí Minh,Đồ uống,18000,5,Tiền mặt,2
DH01270,15/04/2025,KH0142,Hà Nội,Thực phẩm,104000,2,Ví điện tử,5
DH01271,15/04/2025,KH0216, hà nội  ,Văn phòng phẩm,60000,2,Ví điện tử,
DH01272,15/04/2025,,Hà Nội,Mỹ phẩm,171000,2,Chuyển khoản,
DH01273,15/04/2025,KH0350,Huế,Gia dụng,501000,2,Ví điện tử,2
DH01274,15/04/2025,KH0053,Hà Nội,Thực phẩm,147000,3,Ví điện tử,4
DH01275,15/04/2025,KH0231,Đà Nẵng,Đồ uống,26000,2,Chuyển khoản,3
DH01276,15/04/2025,KH0386,Đà Nẵng,Gia dụng,224000,1,Chuyển khoản,2
DH01277,15/04/2025,KH0310,huế,Thực phẩm,111000,3,Tiền mặt,
DH01278,15/04/2025,KH0139,Hồ Chí Minh,Mỹ phẩm,373000,3,Chuyển khoản,4
DH01279,16/04/2025,KH0343,Cần Thơ,Thực phẩm,67000,4,Chuyển khoản,3
DH01280,16/04/2025,KH0224,đà nẵng,Mỹ phẩm,224000,7,Tiền mặt,4
DH01281,16/04/2025,KH0154,Huế,Thực phẩm,94000,4,Chuyển khoản,2
DH01282,16/04/2025,KH0086,Cần Thơ,Văn phòng phẩm,53000,2,Tiền mặt,5
DH01283,16/04/2025,KH0390,cần thơ,Đồ uống,21000,7,Tiền mặt,3
DH01284,16/04/2025,KH0130,Hồ Chí Minh,Thực phẩm,90000,3,Chuyển khoản,5
DH01285,16/04/2025,KH0342,Hà Nội,Mỹ phẩm,355000,1,Ví điện tử,4
DH01286,16/04/2025,KH0460,Huế,Đồ uống,18000,2,Tiền mặt,3
DH01287,16/04/2025,KH0399,Cần Thơ,Thực phẩm,90000,5,Ví điện tử,3
DH01288,16/04/2025,KH0443,hà nội,Đồ uống,29000,5,Chuyển khoản,3
DH01289,17/04/2025,KH0429, hồ chí minh  ,Mỹ phẩm,132000,2,Ví điện tử,4
DH01289,17/04/2025,KH0429, hồ chí minh  ,Mỹ phẩm,132000,2,Ví điện tử,4
DH01290,17/04/2025,KH0255,Hà Nội,Văn phòng phẩm,57000,4,Tiền mặt,5
DH01291,17/04/2025,KH0140,Hà Nội,Văn phòng phẩm,11000,5,Chuyển khoản,5
DH01292,17/04/2025,KH0026,Huế,Đồ uống,22000,8,Tiền mặt,
DH01293,17/04/2025,KH0061,Hồ Chí Minh,Đồ uống,19000,6,Chuyển khoản,4
DH01294,17/04/2025,KH0038,Cần Thơ,Thực phẩm,38000,4,Tiền mặt,
DH01295,17/04/2025,KH0553,Đà Nẵng,Thực phẩm,80000,4,Chuyển khoản,3
DH01296,17/04/2025,KH0012,Hồ Chí Minh,Mỹ phẩm,228000,5,Ví điện tử,3
DH01297,18/04/2025,KH0256,Cần Thơ,Thực phẩm,32000,3,Chuyển khoản,
DH01298,18/04/2025,KH0221,Huế,Thực phẩm,114000,2,Ví điện tử,3
DH01299,18/04/2025,KH0413,Hà Nội,Đồ uống,40000,5,Tiền mặt,3
DH01300,18/04/2025,KH0050,hà nội,Văn phòng phẩm,30000,4,Chuyển khoản,3
DH01301,18/04/2025,KH0137,Hồ Chí Minh,Mỹ phẩm,250000,4,Ví điện tử,3
DH01302,18/04/2025,KH0417,Huế ,Đồ uống,18000,5,Chuyển khoản,5
DH01303,18/04/2025,KH0075,Hồ Chí Minh,Văn phòng phẩm,50000,2,Chuyển khoản,5
DH01304,19/04/2025,KH0429,Hà Nội,Gia dụng,261000,1,Ví điện tử,
DH01305,19/04/2025,KH0260,Hồ Chí Minh,Mỹ phẩm,156000,6,Chuyển khoản,
DH01306,19/04/2025,KH0037,huế,Đồ uống,36000,4,Ví điện tử,3
DH01307,19/04/2025,KH0135,Hồ Chí Minh,Đồ uống,31000,4,Chuyển khoản,3
DH01308,19/04/2025,KH0413,Hồ Chí Minh,Thực phẩm,113000,3,Chuyển khoản,5
DH01309,19/04/2025,KH0258,  Cần Thơ,Thực phẩm,31000,3,Chuyển khoản,4
DH01310,19/04/2025,KH0247,HỒ CHÍ MINH,Thực phẩm,24000,2,Ví điện tử,5
DH01311,19/04/2025,KH0376,Hồ Chí Minh,Mỹ phẩm,140000,3,Ví điện tử,5
DH01312,19/04/2025,KH0427,Hồ Chí Minh,Gia dụng,311000,3,Ví điện tử,
DH01313,19/04/2025,KH0430,Đà Nẵng,Gia dụng,327000,2,Ví điện tử,
DH01314,19/04/2025,,Đà Nẵng,Thực phẩm,34000,4,Chuyển khoản,4
DH01315,19/04/2025,KH0315,Hà Nội,Thực phẩm,65000,4,Ví điện tử,
DH01316,19/04/2025,KH0488,Đà Nẵng,Thực phẩm,93000,2,Tiền mặt,4
DH01317,19/04/2025,KH0444,Hồ Chí Minh,Văn phòng phẩm,24000,2,Ví điện tử,5
DH01318,19/04/2025,KH0317,Huế,Gia dụng,600000,4,Tiền mặt,2
DH01319,19/04/2025,KH0204,Đà Nẵng,Gia dụng,179000,5,Ví điện tử,3
DH01320,19/04/2025,KH0106,Hà Nội,Đồ uống,40000,6,Ví điện tử,3
DH01320,19/04/2025,KH0106,Hà Nội,Đồ uống,40000,6,Ví điện tử,3
DH01321,19/04/2025,KH0086,Hà Nội,Thực phẩm,32000,1,Tiền mặt,4
DH01322,19/04/2025,KH0250,Huế,Thực phẩm,96000,3,Chuyển khoản,3
DH01323,19/04/2025,KH0348,Hồ Chí Minh ,Đồ uống,25000,6,Ví điện tử,4
DH01324,19/04/2025,KH0499,Hồ Chí Minh,Mỹ phẩm,299000,2,Ví điện tử,
DH01325,19/04/2025,KH0241,hà nội,Thực phẩm,33000,1,Chuyển khoản,
DH01326,19/04/2025,KH0111,Hà Nội,Thực phẩm,72000,1,Tiền mặt,4
DH01327,19/04/2025,KH0181,  Hà Nội,Thực phẩm,103000,1,Chuyển khoản,4
DH01328,19/04/2025,KH0025,Đà Nẵng,Gia dụng,491000,4,Chuyển khoản,4
DH01329,19/04/2025,,Đà Nẵng,Đồ uống,33000,6,Chuyển khoản,5
DH01330,19/04/2025,KH0061,Hà Nội,Đồ uống,20000,6,Tiền mặt,4
DH01331,19/04/2025,KH0305,Đà Nẵng,Đồ uống,33000,5,Chuyển khoản,
DH01332,19/04/2025,KH0163,Hồ Chí Minh,Đồ uống,44000,5,Chuyển khoản,4
DH01333,19/04/2025,KH0023,  Hà Nội,Văn phòng phẩm,15000,1,Ví điện tử,2
DH01334,20/04/2025,,Đà Nẵng,Văn phòng phẩm,60000,6,Tiền mặt,2
DH01335,20/04/2025,KH0094,Đà Nẵng,Thực phẩm,41000,5,Chuyển khoản,1
DH01336,20/04/2025,KH0015,HÀ NỘI,Văn phòng phẩm,56000,4,Ví điện tử,3
DH01337,20/04/2025,KH0050,Hà Nội,Đồ uống,34000,8,Chuyển khoản,5
DH01338,20/04/2025,KH0451,Hà Nội,Đồ uống,13000,4,Chuyển khoản,
DH01339,20/04/2025,KH0037,Hà Nội,Mỹ phẩm,286000,3,Ví điện tử,4
DH01340,20/04/2025,KH0164,Hà Nội,Văn phòng phẩm,13000,6,Ví điện tử,
DH01341,20/04/2025,KH0168,Cần Thơ,Thực phẩm,59000,5,Ví điện tử,4
DH01342,20/04/2025,KH0405,hồ chí minh,Mỹ phẩm,442000,1,Ví điện tử,4
DH01343,20/04/2025,KH0462,HÀ NỘI,Văn phòng phẩm,36000,3,Tiền mặt,4
DH01344,20/04/2025,KH0244,Hà Nội,Đồ uống,23000,3,Chuyển khoản,4
DH01345,20/04/2025,KH0048,  Hà Nội,Gia dụng,428000,2,Ví điện tử,5
DH01346,20/04/2025,KH0332,Hồ Chí Minh,Đồ uống,23000,4,Ví điện tử,3
DH01347,20/04/2025,KH0283,Hà Nội,Đồ uống,14000,4,Chuyển khoản,4
DH01348,20/04/2025,KH0223,Hà Nội,Đồ uống,16000,2,Chuyển khoản,3
DH01349,20/04/2025,KH0538,Hồ Chí Minh,Đồ uống,14000,1,Ví điện tử,4
DH01350,21/04/2025,KH0425,Huế,Đồ uống,15000,5,Ví điện tử,3
DH01351,21/04/2025,KH0206,Hà Nội,Thực phẩm,56000,2,Ví điện tử,3
DH01352,21/04/2025,KH0178,Đà Nẵng,Gia dụng,580000,1,Chuyển khoản,5
DH01353,21/04/2025,KH0118, đà nẵng  ,Đồ uống,21000,2,Tiền mặt,5
DH01354,21/04/2025,KH0034,Hồ Chí Minh,Gia dụng,190000,3,Chuyển khoản,4
DH01355,21/04/2025,KH0062,Huế ,Văn phòng phẩm,10000,5,Tiền mặt,4
DH01356,21/04/2025,KH0427,Hà Nội,Mỹ phẩm,180000,2,Ví điện tử,
DH01357,22/04/2025,KH0091,  Cần Thơ,Thực phẩm,43000,4,Tiền mặt,4
DH01358,22/04/2025,KH0394,Hà Nội,Đồ uống,38000,7,Ví điện tử,4
DH01359,22/04/2025,,Hồ Chí Minh,Đồ uống,34000,3,Tiền mặt,4
DH01360,22/04/2025,KH0094,Hà Nội,Văn phòng phẩm,27000,3,Chuyển khoản,4
DH01361,22/04/2025,KH0395, đà nẵng  ,Đồ uống,13000,,Tiền mặt,3
DH01362,22/04/2025,KH0327,Cần Thơ,Mỹ phẩm,418000,2,Chuyển khoản,
DH01363,22/04/2025,KH0347, hồ chí minh  ,Đồ uống,36000,4,Ví điện tử,3
DH01364,22/04/2025,KH0093,Hồ Chí Minh,Thực phẩm,118000,7,Chuyển khoản,5
DH01365,22/04/2025,,HỒ CHÍ MINH,Mỹ phẩm,352000,1,Ví điện tử,4
DH01366,23/04/2025,KH0357,Hồ Chí Minh,Đồ uống,14000,4,Tiền mặt,5
DH01367,23/04/2025,KH0038,Hà Nội,Mỹ phẩm,155000,2,Tiền mặt,2
DH01368,23/04/2025,KH0423,Hồ Chí Minh,Đồ uống,31000,6,Ví điện tử,
DH01369,23/04/2025,,Hồ Chí Minh,Đồ uống,25000,4,Ví điện tử,
DH01370,23/04/2025,KH0328,HÀ NỘI,Đồ uống,44000,7,Ví điện tử,
DH01371,23/04/2025,KH0489,hồ chí minh,Gia dụng,118000,150,Ví điện tử,3
DH01372,23/04/2025,KH0442,Huế,Đồ uống,15000,1,Tiền mặt,2
DH01373,23/04/2025,KH0463,Hà Nội,Thực phẩm,124000,1,Ví điện tử,4
DH01374,23/04/2025,KH0201,Cần Thơ,Mỹ phẩm,318000,4,Chuyển khoản,
DH01375,23/04/2025,KH0271,đà nẵng,Văn phòng phẩm,34000,2,Ví điện tử,
DH01376,23/04/2025,KH0340, đà nẵng  ,Văn phòng phẩm,45000,5,Tiền mặt,4
DH01377,23/04/2025,KH0493,Đà Nẵng,Đồ uống,44000,2,Tiền mặt,4
DH01378,23/04/2025,KH0170,Hồ Chí Minh,Gia dụng,429000,1,Chuyển khoản,4
DH01379,24/04/2025,KH0141,Đà Nẵng,Gia dụng,513000,1,Chuyển khoản,4
DH01380,24/04/2025,KH0175,Cần Thơ,Thực phẩm,122000,4,Ví điện tử,1
DH01381,24/04/2025,KH0352,Hà Nội,Gia dụng,486000,1,Ví điện tử,3
DH01382,24/04/2025,KH0453,Huế,Văn phòng phẩm,27000,3,Chuyển khoản,4
DH01383,24/04/2025,KH0210,Hà Nội,Thực phẩm,57000,4,Chuyển khoản,1
DH01384,24/04/2025,KH0157,Hà Nội,Đồ uống,16000,9,Ví điện tử,3
DH01385,24/04/2025,KH0110, hà nội  ,Thực phẩm,68000,3,Ví điện tử,
DH01386,24/04/2025,KH0268,Cần Thơ,Đồ uống,24000,5,Ví điện tử,3
DH01387,24/04/2025,KH0225,Hồ Chí Minh,Văn phòng phẩm,40000,8,Ví điện tử,
DH01388,24/04/2025,KH0165,Hồ Chí Minh,Mỹ phẩm,359000,3,Chuyển khoản,4
DH01389,24/04/2025,KH0235, huế  ,Thực phẩm,72000,6,Tiền mặt,4
DH01390,24/04/2025,KH0499,Hà Nội,Thực phẩm,35000,3,Ví điện tử,3
DH01391,24/04/2025,KH0372,Hồ Chí Minh,Đồ uống,19000,3,Chuyển khoản,4
DH01392,25/04/2025,KH0187,Đà Nẵng,Mỹ phẩm,312000,4,Ví điện tử,
DH01393,25/04/2025,KH0420,Hồ Chí Minh,Mỹ phẩm,263000,2,Ví điện tử,3
DH01394,25/04/2025,KH0107,Cần Thơ,Đồ uống,12000,4,Ví điện tử,
DH01395,25/04/2025,KH0038,Hồ Chí Minh,Mỹ phẩm,339000,4,Ví điện tử,5
DH01396,25/04/2025,KH0232,Hồ Chí Minh,Văn phòng phẩm,30000,4,Ví điện tử,5
DH01397,26/04/2025,KH0485,Hồ Chí Minh,Gia dụng,374000,5,Chuyển khoản,3
DH01398,26/04/2025,KH0127,Hà Nội,Mỹ phẩm,117000,4,Chuyển khoản,3
DH01399,26/04/2025,KH0335,Hà Nội,Thực phẩm,96000,4,Chuyển khoản,2
DH01400,26/04/2025,KH0402,Cần Thơ,Đồ uống,14000,3,Tiền mặt,4
DH01401,26/04/2025,KH0380,Đà Nẵng,Thực phẩm,83000,3,Chuyển khoản,4
DH01402,26/04/2025,KH0297,Đà Nẵng,Văn phòng phẩm,38000,9,Tiền mặt,5
DH01403,26/04/2025,KH0167,Hà Nội,Văn phòng phẩm,44000,3,Ví điện tử,
DH01404,26/04/2025,KH0176,ĐÀ NẴNG,Đồ uống,40000,4,Tiền mặt,
DH01405,26/04/2025,,Đà Nẵng,Đồ uống,19000,3,Tiền mặt,4
DH01406,26/04/2025,KH0472,Hà Nội,Thực phẩm,103000,3,Ví điện tử,
DH01407,26/04/2025,KH0025,Hồ Chí Minh,Mỹ phẩm,383000,3,Ví điện tử,
DH01408,26/04/2025,KH0023,Cần Thơ,Gia dụng,590000,3,Tiền mặt,5
DH01409,26/04/2025,KH0174,Hồ Chí Minh,Mỹ phẩm,215000,1,Tiền mặt,4
DH01410,26/04/2025,KH0496,Hồ Chí Minh,Văn phòng phẩm,28000,2,Tiền mặt,4
DH01411,26/04/2025,KH0456,  Hà Nội,Thực phẩm,54000,2,Ví điện tử,5
DH01412,26/04/2025,KH0288,Hà Nội ,Đồ uống,13000,8,Tiền mặt,2
DH01413,26/04/2025,KH0017,Hồ Chí Minh,Đồ uống,13000,2,Tiền mặt,4
DH01414,26/04/2025,KH0166,Hồ Chí Minh,Văn phòng phẩm,36000,3,Tiền mặt,4
DH01415,26/04/2025,KH0461,Cần Thơ,Thực phẩm,69000,3,Tiền mặt,4
DH01416,27/04/2025,KH0348,Huế,Văn phòng phẩm,13000,2,Chuyển khoản,4
DH01417,27/04/2025,KH0160,Cần Thơ,Thực phẩm,57000,2,Chuyển khoản,4
DH01418,27/04/2025,KH0140,Hà Nội,Văn phòng phẩm,40000,1,Tiền mặt,
DH01419,27/04/2025,KH0221,Hồ Chí Minh,Văn phòng phẩm,54000,4,Chuyển khoản,4
DH01420,27/04/2025,KH0386,Huế,Thực phẩm,30000,2,Ví điện tử,4
DH01421,27/04/2025,KH0368,Hồ Chí Minh,Văn phòng phẩm,31000,8,Ví điện tử,3
DH01422,27/04/2025,KH0059,Cần Thơ,Đồ uống,37000,3,Chuyển khoản,
DH01423,27/04/2025,KH0432,Hà Nội,Đồ uống,20000,3,Tiền mặt,
DH01424,27/04/2025,KH0482,Đà Nẵng,Thực phẩm,149000,4,Ví điện tử,
DH01425,27/04/2025,KH0484,Đà Nẵng,Gia dụng,334000,1,Tiền mặt,3
DH01425,27/04/2025,KH0484,Đà Nẵng,Gia dụng,334000,1,Tiền mặt,3
DH01426,27/04/2025,KH0227,Hồ Chí Minh,Thực phẩm,95000,4,Ví điện tử,4
DH01427,27/04/2025,KH0284,Hồ Chí Minh,Gia dụng,466000,3,Chuyển khoản,5
DH01428,27/04/2025,KH0023,Hồ Chí Minh,Gia dụng,383000,1,Ví điện tử,5
DH01429,28/04/2025,KH0340,huế,Thực phẩm,45000,6,Tiền mặt,5
DH01430,28/04/2025,KH0124,Hồ Chí Minh,Đồ uống,44000,6,Tiền mặt,5
DH01431,28/04/2025,KH0223,Cần Thơ,Thực phẩm,130000,2,Chuyển khoản,
DH01432,28/04/2025,KH0279,Hồ Chí Minh,Văn phòng phẩm,13000,1,Ví điện tử,5
DH01433,28/04/2025,KH0260,Hồ Chí Minh,Mỹ phẩm,193000,2,Ví điện tử,
DH01434,28/04/2025,KH0142,Cần Thơ,Thực phẩm,150000,4,Tiền mặt,
DH01435,28/04/2025,KH0218,Hà Nội ,Văn phòng phẩm,24000,5,Ví điện tử,1
DH01436,28/04/2025,KH0068,Hồ Chí Minh,Văn phòng phẩm,19000,3,Tiền mặt,4
DH01437,28/04/2025,KH0021,Huế,Thực phẩm,34000,2,Tiền mặt,3
DH01438,28/04/2025,KH0367,Hồ Chí Minh,Thực phẩm,31000,4,Tiền mặt,3
DH01439,28/04/2025,KH0063,Hồ Chí Minh,Mỹ phẩm,223000,1,Ví điện tử,4
DH01440,28/04/2025,KH0032,Hồ Chí Minh,Đồ uống,39000,2,Ví điện tử,2
DH01441,28/04/2025,KH0407,Hà Nội,Thực phẩm,76000,3,Ví điện tử,3
DH01442,28/04/2025,KH0458,Hồ Chí Minh,Thực phẩm,80000,3,Chuyển khoản,4
DH01443,29/04/2025,KH0313,Hồ Chí Minh,Gia dụng,554000,2,Chuyển khoản,4
DH01444,29/04/2025,KH0353,Cần Thơ,Thực phẩm,107000,5,Ví điện tử,3
DH01445,29/04/2025,KH0346,Hồ Chí Minh,Mỹ phẩm,390000,3,Chuyển khoản,4
DH01446,29/04/2025,KH0527,Huế,Đồ uống,15000,2,Tiền mặt,5
DH01447,29/04/2025,KH0043,Cần Thơ,Đồ uống,31000,4,Tiền mặt,5
DH01448,29/04/2025,KH0168,ĐÀ NẴNG,Đồ uống,38000,4,Chuyển khoản,4
DH01449,29/04/2025,KH0149,Hà Nội,Gia dụng,466000,5,Tiền mặt,4
DH01450,29/04/2025,KH0356,Cần Thơ,Đồ uống,40000,7,Tiền mặt,
DH01451,29/04/2025,KH0390,Đà Nẵng,Văn phòng phẩm,12000,3,Chuyển khoản,5
DH01452,29/04/2025,KH0201,Hà Nội,Văn phòng phẩm,58000,3,Ví điện tử,
DH01453,29/04/2025,KH0358,Hồ Chí Minh,Đồ uống,19000,5,Ví điện tử,
DH01454,29/04/2025,KH0452,Cần Thơ,Thực phẩm,68000,2,Chuyển khoản,
DH01455,30/04/2025,KH0421,HỒ CHÍ MINH,Đồ uống,18000,2,Ví điện tử,3
DH01456,30/04/2025,KH0477,Hồ Chí Minh,Thực phẩm,94000,3,Tiền mặt,5
DH01457,30/04/2025,KH0172,Cần Thơ,Đồ uống,12000,4,Ví điện tử,2
DH01458,30/04/2025,KH0200,Hà Nội,Văn phòng phẩm,5000,5,Chuyển khoản,5
DH01459,30/04/2025,KH0062,Cần Thơ,Thực phẩm,122000,1,Tiền mặt,4
DH01460,30/04/2025,KH0346,Đà Nẵng,Gia dụng,489000,,Tiền mặt,3
DH01461,30/04/2025,KH0029,Hồ Chí Minh,Mỹ phẩm,214000,5,Chuyển khoản,5
DH01462,30/04/2025,KH0174,Hà Nội,Văn phòng phẩm,32000,4,Ví điện tử,
DH01463,01/05/2025,KH0302,Hồ Chí Minh,Đồ uống,28000,4,Chuyển khoản,4
DH01464,01/05/2025,KH0072,Đà Nẵng,Đồ uống,20000,3,Tiền mặt,4
DH01465,01/05/2025,KH0463,Huế,Đồ uống,14000,6,Ví điện tử,
DH01466,01/05/2025,KH0237,Cần Thơ,Văn phòng phẩm,57000,1,Ví điện tử,
DH01467,01/05/2025,KH0003,hồ chí minh,Văn phòng phẩm,7000,4,Chuyển khoản,4
DH01468,01/05/2025,KH0433,Hồ Chí Minh ,Đồ uống,21000,5,Tiền mặt,1
DH01469,01/05/2025,KH0355,Hồ Chí Minh,Đồ uống,25000,5,Tiền mặt,4
DH01470,01/05/2025,KH0481,Hà Nội,Thực phẩm,38000,6,Ví điện tử,4
DH01471,01/05/2025,KH0344,Cần Thơ,Đồ uống,28000,5,Ví điện tử,3
DH01472,01/05/2025,KH0434,Đà Nẵng,Thực phẩm,50000,2,Tiền mặt,4
DH01473,01/05/2025,KH0326,Huế,Mỹ phẩm,296000,3,Ví điện tử,4
DH01474,01/05/2025,KH0001,Hà Nội,Đồ uống,34000,4,Chuyển khoản,5
DH01475,02/05/2025,KH0091,Hồ Chí Minh,Thực phẩm,20000,,Ví điện tử,
DH01476,02/05/2025,KH0100,Hồ Chí Minh,Mỹ phẩm,202000,3,Tiền mặt,4
DH01477,02/05/2025,KH0496,Cần Thơ ,Đồ uống,14000,4,Tiền mặt,4
DH01478,02/05/2025,KH0450,Đà Nẵng,Thực phẩm,50000,3,Ví điện tử,5
DH01479,02/05/2025,KH0380,Huế,Thực phẩm,84000,3,Tiền mặt,1
DH01480,02/05/2025,KH0442,Đà Nẵng,Văn phòng phẩm,45000,2,Tiền mặt,
DH01481,02/05/2025,KH0317,Huế,Văn phòng phẩm,53000,3,Chuyển khoản,
DH01482,02/05/2025,KH0222,  Hà Nội,Mỹ phẩm,399000,2,Ví điện tử,4
DH01483,02/05/2025,KH0195,Hồ Chí Minh,Văn phòng phẩm,21000,6,Tiền mặt,
DH01484,02/05/2025,KH0391,Hà Nội,Văn phòng phẩm,40000,2,Chuyển khoản,2
DH01485,02/05/2025,KH0088,Hà Nội,Gia dụng,237000,3,Tiền mặt,3
DH01486,03/05/2025,KH0468,Hồ Chí Minh,Văn phòng phẩm,57000,4,Ví điện tử,4
DH01487,03/05/2025,KH0103,hồ chí minh,Thực phẩm,93000,3,Ví điện tử,3
DH01488,03/05/2025,KH0245, đà nẵng  ,Thực phẩm,24000,1,Chuyển khoản,3
DH01489,03/05/2025,KH0073,Hồ Chí Minh ,Thực phẩm,125000,6,Tiền mặt,4
DH01490,03/05/2025,KH0465,Đà Nẵng ,Mỹ phẩm,321000,2,Chuyển khoản,1
DH01490,03/05/2025,KH0465,Đà Nẵng ,Mỹ phẩm,321000,2,Chuyển khoản,1
DH01491,03/05/2025,KH0210,Hồ Chí Minh,Thực phẩm,47000,4,Tiền mặt,4
DH01492,03/05/2025,KH0220,Cần Thơ,Đồ uống,31000,5,Chuyển khoản,4
DH01493,03/05/2025,KH0017,Hà Nội,Gia dụng,342000,999,Tiền mặt,5
